"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Llamado de atención.

Nos escriben:

""Juan Diego buenas tardes. 
La siguiente denuncia la hago con mucha tristeza.… https://t.co/XkQNuDfZnj",FALSE,0,NA,2018-05-26 22:59:22,TRUE,NA,"1000511743251111942",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","judiloja",0,FALSE,FALSE,NA,NA
"RT @petrogusano: Fui exonerado de la arbitrariedad que cometió el exprocurador @A_OrdonezM porque la CSJ, CIDH, DEA, CIA, DAS, CSJ, FBI, e…",FALSE,0,NA,2018-05-26 22:55:22,FALSE,NA,"1000510734101630977",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LopeAugusto",146,TRUE,FALSE,NA,NA
"RT @petrogusano: Fui exonerado de la arbitrariedad que cometió el exprocurador @A_OrdonezM porque la CSJ, CIDH, DEA, CIA, DAS, CSJ, FBI, e…",FALSE,0,NA,2018-05-26 22:54:31,FALSE,NA,"1000510521983021056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NELSONPARRAROCH",146,TRUE,FALSE,NA,NA
"RT @petrogusano: Fui exonerado de la arbitrariedad que cometió el exprocurador @A_OrdonezM porque la CSJ, CIDH, DEA, CIA, DAS, CSJ, FBI, e…",FALSE,0,NA,2018-05-26 22:44:30,FALSE,NA,"1000507999885066240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TimoFARK",146,TRUE,FALSE,NA,NA
"RT @DianaDipari99: Desde la Direccion de Familias y Comunidades promocionando la convivencia armonica en la familia, la escuela y la comuni…",FALSE,0,NA,2018-05-26 22:16:05,FALSE,NA,"1000500847757885441",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EdwinAlbertoGm1",6,TRUE,FALSE,NA,NA
"RT @petrogusano: Fui exonerado de la arbitrariedad que cometió el exprocurador @A_OrdonezM porque la CSJ, CIDH, DEA, CIA, DAS, CSJ, FBI, e…",FALSE,0,NA,2018-05-26 22:02:30,FALSE,NA,"1000497432864657409",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","AcastrillonG",146,TRUE,FALSE,NA,NA
"RT @RobertoAnguloS: @SwannSimonn Cada caso amerita estudio. Muy diferente ICBF al Ministerio de Trabajo. Tomar esas decisiones a la ligera…",FALSE,0,NA,2018-05-26 22:01:14,FALSE,NA,"1000497113095163909",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gonzalorestre12",1,TRUE,FALSE,NA,NA
"RT @petrogusano: Fui exonerado de la arbitrariedad que cometió el exprocurador @A_OrdonezM porque la CSJ, CIDH, DEA, CIA, DAS, CSJ, FBI, e…",FALSE,0,NA,2018-05-26 21:58:07,FALSE,NA,"1000496329766862848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aoviedo64",146,TRUE,FALSE,NA,NA
"RT @DianaDipari99: Desde la Direccion de Familias y Comunidades promocionando la convivencia armonica en la familia, la escuela y la comuni…",FALSE,0,NA,2018-05-26 21:57:45,FALSE,NA,"1000496235613163520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","roca8321",6,TRUE,FALSE,NA,NA
"RT @VozDelPuebloCo_: #ESNOTICIA Seis aspirantes disputan la Dirección Regional del ICBF en Córdoba https://t.co/CAWsBg3OJT https://t.co/nkT…",FALSE,0,NA,2018-05-26 21:53:07,FALSE,NA,"1000495070427131907",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","monicatellez_",3,TRUE,FALSE,NA,NA
"RT @VozDelPuebloCo_: #ESNOTICIA Seis aspirantes disputan la Dirección Regional del ICBF en Córdoba https://t.co/CAWsBg3OJT https://t.co/nkT…",FALSE,0,NA,2018-05-26 21:51:45,FALSE,NA,"1000494724262875136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EricaAnia_",3,TRUE,FALSE,NA,NA
"RT @VozDelPuebloCo_: #ESNOTICIA Seis aspirantes disputan la Dirección Regional del ICBF en Córdoba https://t.co/CAWsBg3OJT https://t.co/nkT…",FALSE,0,NA,2018-05-26 21:48:49,FALSE,NA,"1000493987126538240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cindycastrogame",3,TRUE,FALSE,NA,NA
"#ESNOTICIA Seis aspirantes disputan la Dirección Regional del ICBF en Córdoba https://t.co/CAWsBg3OJT https://t.co/nkTuf9d2Xf",FALSE,2,NA,2018-05-26 21:27:59,FALSE,NA,"1000488743688601600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VozDelPuebloCo_",3,FALSE,FALSE,NA,NA
"RT @petrogusano: Fui exonerado de la arbitrariedad que cometió el exprocurador @A_OrdonezM porque la CSJ, CIDH, DEA, CIA, DAS, CSJ, FBI, e…",FALSE,0,NA,2018-05-26 21:24:06,FALSE,NA,"1000487768361926656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GlediaCubides",146,TRUE,FALSE,NA,NA
"RT @petrogusano: Fui exonerado de la arbitrariedad que cometió el exprocurador @A_OrdonezM porque la CSJ, CIDH, DEA, CIA, DAS, CSJ, FBI, e…",FALSE,0,NA,2018-05-26 21:20:43,FALSE,NA,"1000486915781660683",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","danielvinci88",146,TRUE,FALSE,NA,NA
"RT @petrogusano: Fui exonerado de la arbitrariedad que cometió el exprocurador @A_OrdonezM porque la CSJ, CIDH, DEA, CIA, DAS, CSJ, FBI, e…",FALSE,0,NA,2018-05-26 21:17:00,FALSE,NA,"1000485979155726336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","petrogusano",146,TRUE,FALSE,NA,NA
"LA MAG. PATRICIA VARGAS (MAGISTER EN PSICOANÁLISIS DE UK), PSICÓLOGA DEL ICBF, DEDICADA A ADPCIONES, JUNTO A LA PRO… https://t.co/gyZzIAOkyp",FALSE,0,NA,2018-05-26 21:14:19,TRUE,NA,"1000485306221522944",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","praxisfreudiana",0,FALSE,FALSE,NA,NA
"RT @DianaDipari99: Desde la Direccion de Familias y Comunidades promocionando la convivencia armonica en la familia, la escuela y la comuni…",FALSE,0,NA,2018-05-26 21:10:13,FALSE,NA,"1000484271264583681",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DianaMarcelaTM",6,TRUE,FALSE,NA,NA
"Hoy les compartimos parte de la actividad comunitaria en el Centro Zonal del ICBF en Tunja -… https://t.co/wXCBEPb8lS",FALSE,0,NA,2018-05-26 21:09:28,TRUE,NA,"1000484086522269697",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","cidemos",0,FALSE,FALSE,NA,NA
"#PrimeroLosNiños el poder Empoderarnos en el buen trato permite sacar lo mejor de cada uno de nosotros Instituto Co… https://t.co/vG6be2Q9cu",FALSE,0,NA,2018-05-26 20:32:56,TRUE,NA,"1000474890632384513",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","HablaXLosNinos",0,FALSE,FALSE,NA,NA
"@SwannSimonn Cada caso amerita estudio. Muy diferente ICBF al Ministerio de Trabajo. Tomar esas decisiones a la lig… https://t.co/W3SAPLJL64",FALSE,4,"SwannSimonn",2018-05-26 20:32:51,TRUE,"1000474032758763522","1000474869077823488","966539100839927808","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RobertoAnguloS",1,FALSE,FALSE,NA,NA
"RT @ICBFColombia: Conozca la oferta y los requisitos de los trámites, servicios, programas, estrategias y modalidades de atención que el @I…",FALSE,0,NA,2018-05-26 20:07:01,FALSE,NA,"1000468369198510084",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HeleinArevalo",2,TRUE,FALSE,NA,NA
